Full Organization,Short Name
Aalto University,"Aalto, FIN"
Athena Research Centre,"ARC, GRC"
Austrian Academy of Sciences,"OeAW, AUT"
Basque Center for Applied Mathematics,"BCAM, ESP"
Belgian Military Academy,"BMA, BEL"
Bocconi University,"Bocconi, ITA"
"COMSATS University Islamabad, Lahore","COMSATS, PAK"
Carnegie Mellon University,"CMU, USA"
Chalmers Institute of Technology,"Chalmers, SWE"
Chalmers University of Technology and University of Gothenburg,"Chalmers, SWE and GU, SWE"
Chemnitz University of Technology,"Chemnitz, DEU"
Chinese Academy of Sciences,"CAS, CHN"
Columbia University,"Columbia, USA"
Cornell University,"Cornell, USA"
Duke University,"Duke, USA"
Durham University,"Durham, GBR"
ENSAE Paris,"ENSAE, FRA"
EPFL,"EPFL, CHE"
ETH Zurich,"ETH, CHE"
"Ensae, Institut Polytechnique de Paris","ENSAE, FRA"
Fermi National Accelerator Laboratory,"Fermilab, USA"
Fermilab,"Fermilab, USA"
Flatiron Institute,"Flatiron, USA"
Florida State University,"FSU, USA"
Florida State University and National Institute of Standards and Technology,"FSU, USA and NIST, USA"
Free University of Berlin,"FU Berlin, DEU"
Friedrich Schiller University Jena,"FSU Jena, DEU"
Georgia Institute of Technology,"Georgia Tech, USA"
Gwangju Institute of Science and Technology,"GIST, KOR"
Heidelberg University,"Heidelberg, DEU"
Heriot-Watt University,"Heriot-Watt, GBR"
Hun-Ren Alfréd Rényi Institute of Mathematics,"Rényi Institute, HUN"
IBM Research,"IBM, USA"
INESC-ID,"INESC-ID, PRT"
INFN Catania,"INFN Catania, ITA"
Illinois Institute of Technology,"IIT, USA"
"Impa, Rio de Janeiro","IMPA, BRA"
Inria,"Inria, FRA"
Istituto Nazionale di Fisica Nucleare (INFN),"INFN, ITA"
Johann Radon Institute for Computational and Applied Mathematics,"RICAM, AUT"
KTH Royal Institute of Technology,"KTH, SWE"
KU Leuven,"KU Leuven, BEL"
Karlsruhe Institute of Technology,"KIT, DEU"
King Abdullah University of Science and Technology,"KAUST, SAU"
King Abdullah University of Science and Technology/RWTH Aachen University,"KAUST, SAU and RWTH, DEU"
Kuleuven & Unife,"KU Leuven, BEL and Unife, ITA"
LUT University,"LUT, FIN"
"MGIMO, Tashkent","MGIMO, UZB"
Massachusetts Institute of Technology,"MIT, USA"
Max Planck Institute for Informatics,"MPI-INF, DEU"
Michigan State University,"MSU, USA"
Microsoft Research New England,"MSR New England, USA"
National University of Kaohsiung,"NUK, TWN"
New York University,"NYU, USA"
North Carolina State University,"NC State, USA"
Northwestern University,"Northwestern, USA"
Nvidia Corporation,"Nvidia, USA"
Osnabruck University,"UOS, DEU"
Paris 1 Pantheon-Sorbonne University,"Paris1, FRA"
Purdue University,"Purdue, USA"
Queen Mary University of London,"QMUL, GBR"
Queen's University,"Queen's, GBR"
RPTU Kaiserslautern-Landau,"RPTU, DEU"
RWTH Aachen University,"RWTH, DEU"
Rancho Bernardo High School,"RBHS, USA"
Rosenheim Technical University of Applied Sciences,"TH Rosenheim, DEU"
Ruhr West University of Applied Sciences,"RWU, DEU"
Rutgers University,"Rutgers, USA"
Sandia National Laboratories,"Sandia, USA"
Shanghai Jiao Tong University,"SJTU, CHN"
South China University of Technology,"SCUT, CHN"
Southern Methodist University,"SMU, USA"
Stanford University,"Stanford, USA"
Suqian University,"Suqian, CHN"
TU Bergakademie Freiberg,"TUBAF, DEU"
Tsinghua University,"Tsinghua, CHN"
Universidad Adolfo Ibáñez,"UAI, CHL"
Universite de Montreal,"UdeM, CAN"
University of Amsterdam,"UvA, NLD"
University of Augsburg,"UA, DEU"
University of Bonn,"UBonn, DEU"
University of British Columbia,"UBC, CAN"
"University of California, Berkeley","UC Berkeley, USA"
"University of California, Davis","UC Davis, USA"
"University of California, Santa Barbara","UCSB, USA"
University of Cambridge,"Cambridge, GBR"
University of Chicago,"UChicago, USA"
University of Copenhagen,"UCPH, DNK"
University of Edinburgh,"Edinburgh, GBR"
University of Graz,"Uni Graz, AUT"
University of Heidelberg,"Heidelberg, DEU"
University of Jyvaskyla,"JYU, FIN"
University of Kansas,"KU, USA"
University of Kentucky,"UKY, USA"
University of Klagenfurt,"AAU, AUT"
University of Leeds,"Leeds, GBR"
University of Leoben,"MUL, AUT"
University of Mannheim,"UMannheim, DEU"
"University of Maryland, Baltimore","UMB, USA"
University of Massachusetts Amherst,"UMass Amherst, USA"
University of Michigan,"UMich, USA"
"University of Michigan, Ann Arbor","UMich, USA"
University of Montréal,"UdeM, CAN"
University of New South Wales,"UNSW, AUS"
University of Notre Dame,"Notre Dame, USA"
University of Oslo,"UiO, NOR"
University of Osnabrück,"UOS, DEU"
University of Oxford,"Oxford, GBR"
University of Passau,"UPASS, DEU"
University of Pennsylvania,"UPenn, USA"
University of Southern California,"USC, USA"
University of Texas at Austin,"UT Austin, USA"
University of Tokyo,"UTokyo, JPN"
University of Toronto,"UofT, CAN"
University of Warsaw,"UW, POL"
University of Warwick,"Warwick, GBR"
University of Washington,"UW, USA"
University of Waterloo,"UW, CAN"
University of World Economy and Diplomacy,"UWED, UZB"
University of the West of England,"UWE, GBR"
Université Paris 1 Panthéon Sorbonne,"Paris1, FRA"
Université de Bordeaux,"UBx, FRA"
Utrecht University,"Utrecht, NLD"
Virginia Tech,"VT, USA"
Yale University,"Yale, USA"
Yamagata University,"Yamagata, JPN"
